,cui,semtypes,name,abstracts,male_abstracts,female_abstracts
45836,C0670593,"['aapp', 'rcpt']",S100A1 protein,1,10,10
45837,C1136140,['ortf'],Long-Term Synaptic Depression,110,1616,1598
45838,C0002874,['dsyn'],Aplastic Anemia,5,61,51
45839,C2931245,['dsyn'],Bone Marrow failure syndromes,2,30,30
45841,C4281724,"['aapp', 'imft']",Protein S100-A9,2,11,20
45849,C0032120,"['aapp', 'bacs']",Plasma Proteins,13,161,133
45854,C3896461,['celc'],S100A9 complex,1,10,10
45866,C0933647,['bpoc'],Trunk of lateral basal segmental artery,1,10,10
45870,C3891560,"['aapp', 'bacs']",Alarmins,1,10,10
45872,C0011906,['diap'],Differential Diagnosis,5,80,71
45873,C0271907,['dsyn'],Acquired aplastic anemia,5,80,60
45877,C0205282,['qlco'],Malignant - descriptor,29,324,323
45878,C0181868,['mnob'],Mirror,20,240,290
45895,C0013018,['popg'],Donor person,32,282,323
45902,C1419781,['gngm'],S100A1 gene,1,10,10
45905,C1518371,['qlco'],Non-Malignant,5,80,80
45906,C1709490,['inpr'],Pearson Correlation Test,18,250,250
45912,C0031485,['dsyn'],Phenylketonurias,9,90,90
45919,C0024974,['geoa'],Mayotte,40,542,534
45935,C0018346,"['bacs', 'nnon']",Guanosine Monophosphate,5,50,50
45950,C0005885,['orga'],Body Composition,92,965,1105
45956,C1959592,['diap'],Dual-Energy X-Ray Absorptiometry Scan,14,151,190
45960,C0200354,['lbpr'],Urine Specimen Collection,5,50,60
45963,C0242817,['resa'],Cross-Over Design,61,579,540
45964,C0031453,"['aapp', 'bacs', 'phsu']",Phenylalanine,13,150,150
45965,C0012157,['inpr'],Diet Records,5,30,40
45967,C0006675,"['bacs', 'elii', 'phsu']",Calcium,99,1236,1249
45968,C0286762,"['aapp', 'phsu']",caseinomacropeptide,4,40,40
45974,C2927194,['food'],Medical Food,6,51,50
45978,C0002520,"['aapp', 'bacs', 'phsu']",Amino Acids,36,393,425
45983,C0457976,['topp'],Phenylalanine-free diet,3,30,30
45986,C0302113,['comd'],Fragility,16,130,260
45988,C0443177,['ftcn'],Classical (qualifier value),21,271,242
45995,C1512806,['ftcn'],Intake,131,1517,1651
46000,C3266069,['fndg'],Bone density below reference range,24,120,370
46014,C1268088,['bpoc'],Lower body structure,2,10,20
46022,C4274169,['tmco'],Lifelong,18,242,223
46030,C1958569,"['orch', 'phsu']",azilsartan,4,61,51
46094,C0031336,['bmod'],Pharmacy (field),26,332,332
46095,C3536793,['phsu'],Angiotensin 2 Receptor Blocker [EPC],12,202,172
46121,C2826651,['qnco'],Exposure Dose,27,322,383
46129,C3853822,"['orch', 'phsu']",palbociclib,7,21,110
46150,C3540795,['phsu'],ENDOCRINE THERAPY ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,22,30,420
46157,C0935916,"['orch', 'phsu']",fulvestrant,11,0,190
46184,C0521425,['ftcn'],Endocrine,22,201,290
46241,C0678775,['biof'],delayed toxicity,1,0,20
46244,C1511300,['topp'],Breast Cancer Therapeutic Procedure,17,11,310
46245,C0877050,['topp'],cancer hormonal therapy,5,20,60
46253,C4688493,['topp'],Letrozole/Palbociclib Regimen,5,1,90
46262,C3533081,['qnco'],Reporting rate,7,110,120
46265,C2348908,['fndg'],HER2/Neu Negative,13,2,240
46290,C0002930,['bmod'],Anesthesiology,80,825,1006
46299,C0074414,"['orch', 'phsu']",sevoflurane,16,180,220
46302,C0039685,['cgab'],Tetralogy of Fallot,10,110,130
46325,C1272641,['fndg'],Systemic arterial pressure,22,224,243
46326,C0085123,['qnco'],Drug Costs,22,360,370
46337,C1301770,['diap'],Train-of-Four Monitoring,2,20,20
46340,C3811385,['gngm'],BAG3 wt Allele,10,121,121
46343,C0010171,['ocac'],Cost Analysis,13,140,192
46370,C0449991,['inpr'],First value,5,80,60
46374,C4522111,['clna'],Time of extubation:TmStp:Pt:^Patient:Qn,7,61,61
46378,C3176918,['spco'],Clinical setting,88,1325,1392
46385,C1522508,['qlco'],Details,130,1984,2054
46388,C1274038,['bmod'],"Ear, nose and throat surgery",1,10,10
46389,C1301882,['inpr'],Bispectral index (assessment scale),9,64,101
46426,C0041674,['fndg'],Unemployment,25,421,353
46442,C3813209,['gngm'],PROS1 wt Allele,177,3101,2110
46454,C0021682,['hlca'],Health Insurance,11,170,210
46488,C0205487,['ftcn'],Psychiatric,92,1225,1218
46504,C0018576,['podg'],Disabled Persons,27,421,392
46512,C4285807,['sosy'],Behavioral and psychological symptoms of dementia,7,90,80
46517,C0280274,['topp'],Antiviral Therapy,31,511,414
46537,C0023895,['dsyn'],Liver diseases,65,1071,953
46539,C0237123,['mobd'],Alcohol or Other Drugs use,46,690,614
46547,C4085660,['inpr'],Memorial Symptom Assessment Scale,1,20,20
46553,C1511983,['idcn'],disease markers,29,381,352
46558,C0426576,['sosy'],Gastrointestinal symptom,49,564,627
46566,C1263666,['dsyn'],Advanced cirrhosis,5,90,90
46569,C1859884,['fndg'],Chronic joint pain,2,30,30
46581,C0740858,['mobd'],Substance abuse problem,19,320,231
46584,C1979799,['phsu'],Psychiatric drugs,8,131,130
46585,C4517900,['qnco'],900,87,1123,1306
46601,C2964659,['inpr'],Patient Reported Outcomes Measurement Information System,15,220,241
46604,C3840821,['fndg'],Wrong frequency,1,20,20
46712,C0034599,['bmod'],Radiology Specialty,20,302,283
46715,C1623145,['orgf'],response to methotrexate,30,480,580
46735,C0309847,"['aapp', 'imft', 'phsu']",premier,10,200,200
46741,C3899278,['dsyn'],Early Rheumatoid Arthritis,50,830,970
46789,C2718773,"['aapp', 'imft', 'phsu']",canakinumab,25,391,343
46804,C0021755,"['aapp', 'imft']",Interleukin-1,71,799,726
46812,C0003209,['phsu'],Anti-Inflammatory Agents,84,1018,1048
46814,C0302148,['patf'],Blood Clot,109,1741,1762
46816,C0002965,['dsyn'],"Angina, Unstable",106,2030,1973
46851,C0037083,['celf'],Signal Transduction,102,1187,1123
46890,C3537152,['biof'],biological signaling,3,41,41
46894,C0679201,['menp'],Inference,38,591,621
46918,C1706221,['prog'],Associate - assistant,30,460,482
46936,C1512598,['celf'],IL6 Signaling Pathway,2,40,40
46943,C0333482,['ftcn'],atherosclerotic,64,1070,994
46980,C0080306,['medd'],Vena Cava Filters,2,20,20
46987,C0040405,['diap'],X-Ray Computed Tomography,144,1970,1875
47006,C0034065,['patf'],Pulmonary Embolism,69,1111,1111
47007,C0149871,['dsyn'],Deep Vein Thrombosis,70,1151,1190
47017,C0071549,['orch'],polyelectrolyte 60,1,10,10
47020,C0303403,"['elii', 'irda']",Indium-111,7,70,63
47054,C4085887,['diap'],Inspiratory Vital Capacity Test,4,50,40
47059,C2919015,['fndg'],ANTICOAGULATION (finding),101,1861,1770
47060,C2317140,['diap'],Computed tomography venography,1,10,10
47069,C1279805,['fndg'],At risk of deep vein thrombosis,4,60,60
47072,C2827597,['cnce'],Computer Configuration,7,81,81
47073,C1881710,['fndg'],Medical Device Material Perforation,12,200,190
47077,C0265050,['dsyn'],Thrombosis of vena cava,2,20,20
47078,C4522138,['fndg'],Device Migration Problem,19,192,174
47079,C1711426,['qlco'],Tilt,4,40,31
47081,C0850376,['fndg'],Device Complication,9,140,130
47083,C4689466,"['orch', 'phsu']",New Day,3,20,40
47090,C2825812,['acty'],Deploy,43,581,543
47102,C3841428,['fndg'],Patient reasons,32,501,511
47119,C0038720,['inch'],"Sulfates, Inorganic",10,110,101
47133,C0009555,['lbpr'],Complete Blood Count,8,70,91
47134,C0024264,['cell'],Lymphocyte,68,955,879
47143,C0041364,['dsyn'],Tumor Lysis Syndrome,4,60,60
47145,C1096779,['inpr'],"Clinical Trial, Phase II",42,464,496
47146,C4553337,['inpr'],Lugano Lymphoma Response Classification Complete Remission by CT,29,351,322
47154,C4289946,['neop'],"B Acute Lymphoblastic Leukemia, Philadelphia Chromosome Negative",4,40,40
47165,C0442874,['dsyn'],Neuropathy,54,661,685
47167,C4060387,['clnd'],vincristine liposome Injection,2,20,20
47208,C4708788,['qnco'],620,19,330,321
47221,C0357126,"['aapp', 'phsu']",Epoetin Alfa,39,620,551
47236,C0376539,"['aapp', 'phsu']",Eprex,1,10,10
47266,C0019004,['topp'],Hemodialysis,64,973,963
47269,C0357131,"['aapp', 'phsu']",epoetin beta,6,100,100
47283,C0062418,"['aapp', 'bacs']",hemoglobin P,18,240,240
47321,C2348767,['qlco'],Therapeutic Efficacy,32,432,425
47339,C0220781,['biof'],Anabolism,105,1049,1174
47355,C0995188,"['aapp', 'imft', 'phsu']",cetuximab,54,830,686
47359,C2987648,"['orch', 'phsu']",Afatinib,39,550,581
47362,C3812393,"['aapp', 'enzy', 'rcpt']",ErbB Receptors,24,280,341
47379,C0456597,['clas'],Stage 1B,46,515,497
47385,C1883559,['gngm'],Wild Type,82,1117,1082
47389,C4055105,"['aapp', 'imft']",EGFR Antibody,15,230,222
47394,C3652306,['clnd'],Afatinib 30 MG,4,40,40
47400,C0086035,['qlco'],Competence,29,420,383
47431,C0683256,['socb'],Social Competence,2,40,30
47437,C0013526,['diap'],Echoencephalography,3,50,50
47442,C0013987,['menp'],Emotions,104,1314,1467
47453,C0034108,['diap'],"Oximetry, Pulse",17,241,221
47494,C0023013,['menp'],Language Development,4,60,60
47498,C0450334,['qnco'],18/22,38,560,490
47508,C0037431,['fndg'],Social Problems,2,30,30
47512,C0742035,['dsyn'],Cerebellar lesions,2,40,40
47526,C3263722,['inpo'],Traumatic AND/OR non-traumatic injury,68,884,818
47530,C0682053,['aggp'],Toddler (age group),42,751,730
47542,C3825850,['inbe'],Performance in children,4,50,50
47543,C3274565,['diap'],Bayley Scale of Infant Development III,1,20,20
47545,C1160858,['hlca'],Behavior assessment,17,240,271
47548,C0425168,['fndg'],Relationship problems (finding),1,20,20
47550,C0428719,['clna'],Airway pressure,15,201,161
47566,C3831006,['orga'],Corrected Age,26,341,440
47567,C0599855,['ortf'],neurodevelopment,28,382,345
47568,C0055463,"['orch', 'phsu']",chloroxylenol,1,1,10
47577,C2936404,['qnco'],Bacterial Load,7,91,91
47582,C0055361,"['orch', 'phsu']",chlorhexidine gluconate,9,121,140
47588,C0003424,['topp'],Antisepsis,7,81,130
47595,C0003205,['phsu'],"Anti-Infective Agents, Local",6,31,100
47602,C0014908,['geoa'],Estonia,15,151,240
47604,C0010196,['plnt'],Gossypium,6,41,62
47609,C1330330,['phsu'],Hand Sanitizers,1,1,10
47610,C0206069,['mnob'],Protective gloves,5,61,61
47611,C0008196,"['orch', 'phsu']",Chlorhexidine,26,331,420
47616,C0222001,['bpoc'],Structure of nail of finger,3,41,40
47624,C2348675,['qnco'],Fingertip Dosing Unit,4,31,60
47628,C0033061,['hlca'],Preoperative Care,4,51,60
47630,C0525069,['bodm'],Pharmaceutical Solutions,75,848,897
47631,C0001964,"['orch', 'phsu']",1-Propanol,1,1,10
47645,C0032861,['bodm'],Powder dose form,29,372,391
47653,C1123023,['bdsy'],Skin,195,2539,2609
47664,C0301243,"['orch', 'phsu']",Tincture of green soap,1,1,10
47666,C2079653,['fndg'],History of wearing personal protective equipment gloves,1,1,10
47668,C0581714,['lbpr'],Buccal smear procedure,17,191,300
47688,C0210630,"['aapp', 'imft', 'phsu']",Filgrastim,8,70,120
47700,C0079459,"['aapp', 'imft']",Granulocyte Colony-Stimulating Factor,36,421,443
47711,C1570610,"['aapp', 'bacs']","FN1 protein, human",13,120,210
47730,C0039694,"['hops', 'irda', 'orch']",Tetranitromethane,1,10,20
47754,C1832073,['fndg'],Handling,18,221,231
47756,C0039142,['medd'],Syringes,37,381,611
47768,C0018939,['dsyn'],Hematological Disease,14,143,171
47770,C4534363,['fndg'],At home,66,805,946
47774,C0870433,['menp'],Dissatisfaction,11,150,200
47788,C2699517,['fndg'],Absent Adverse Event,29,362,432
47790,C1698088,['neop'],Malignant Solid Neoplasm,2,20,30
47798,C0302828,['inpr'],Instruction [Publication Type],39,493,571
47800,C1272701,['qlco'],Straightforward,4,70,80
47807,C0814377,['topp'],prevention in the home,3,50,40
47820,C1709483,['qnco'],Patient Base,66,1001,1024
47838,C1710470,['prog'],Treating Physician,23,370,371
47850,C0014661,['dsyn'],Equine Infectious Anemia,3,40,31
47864,C3811629,"['aapp', 'imft']",Anti-Drug Antibody,74,1113,1186
47887,C0717670,"['aapp', 'phsu']",denileukin diftitox,20,301,253
47897,C0003872,['dsyn'],"Arthritis, Psoriatic",67,1260,1270
47965,C0683149,['qnco'],serum concentration,153,1782,1905
47991,C1880722,['fndg'],False Negative Result Medical Device Problem,2,40,40
48002,C2828360,['cnce'],Traverse,91,1343,1375
48008,C1547774,['idcn'],Drug interference,1,20,20
48013,C0231198,['ftcn'],tolerant,11,161,153
48015,C1547933,['inpr'],"Serum, Trough",10,131,141
48020,C0456378,['medd'],Type of bridge device,52,862,762
48040,C0041718,['hcro'],Centers for Medicare and Medicaid Services,3,40,50
48106,C3890394,['inpr'],Children's Memory Scale,3,30,50
48111,C0718133,"['orch', 'phsu', 'vita']",a & d,14,230,210
48119,C0439259,['qnco'],kilocalorie,34,411,462
48126,C0262438,['hlca'],COUNSELLING VISIT,6,80,100
48149,C0694649,['bpoc'],Left deltoid,40,550,552
48191,C0353697,['phsu'],Carbidopa / Levodopa,9,150,141
48195,C2982514,['ftcn'],Dose Frequency,38,482,523
48231,C0165921,"['orch', 'phsu']",entacapone,3,60,60
48234,C3889414,['diap'],Confocal Laser Endomicroscopy,4,60,50
48245,C0308355,"['orch', 'phsu']",ASCEND (veterinary product),31,600,600
48254,C3489432,"['orch', 'phsu']",IPX066,4,60,51
48277,C2697641,['mamm'],ICR BR Mouse,4,70,70
48288,C1514721,['qnco'],Range,46,740,770
48293,C1868976,['ftcn'],Motor fluctuation,18,300,263
48303,C4288557,['fndg'],One Activity Hour,13,160,171
48356,C0012194,"['orch', 'phsu']",Ditiocarb,3,60,60
48419,C2826254,['tmco'],Interruption Duration,2,20,40
48458,C4517447,['qnco'],0.31,167,2493,2664
48519,C4505508,"['aapp', 'imft']",lanadelumab,2,20,20
48545,C2717906,['dsyn'],Hereditary Angioedema Type I,1,10,10
48556,C0313532,"['aapp', 'enzy']",Plasma Kallikrein,3,40,30
48581,C0022418,['geoa'],Jordan,2,30,30
48628,C0683920,['qnco'],attack rate,11,170,190
48666,C3537193,['phsu'],Human Immunoglobulin [EPC],8,110,81
48692,C4687958,['inpr'],Severity One Out of Three,58,870,891
48693,C1515402,['resa'],Therapeutic Studies,13,182,152
48751,C0162633,['patf'],Viral Shedding,21,242,282
48755,C3272757,"['imft', 'phsu']",Live Attenuated Influenza Vaccine,20,321,340
48781,C0020980,['lbpr'],Immunoassay method,67,801,1053
48783,C0018904,['lbpr'],Hemagglutination Inhibition Tests,97,1611,1680
48790,C0599161,['mbrt'],Reverse Transcriptase Polymerase Chain Reaction,36,561,553
48792,C1456404,"['imft', 'orch', 'phsu']",Trivalent Live Attenuated Influenza Vaccine,10,160,180
48795,C2825347,"['imft', 'phsu']","Immunoglobulin A, Human",40,591,631
48799,C0004732,['geoa'],Bangladesh,59,614,874
48800,C0045550,"['orch', 'phsu']","2,5-dichloro-4-bromophenol",6,100,110
48821,C0008078,['hlca'],Child health care,17,250,290
48822,C0370003,['sbst'],Specimen,53,513,736
48824,C2346550,['qnco'],50 Percent Embryo Infective Dose per Dose,1,20,20
48832,C1826469,['gngm'],NPW gene,1,20,20
48842,C4522216,['lbtr'],Influenza B (result),18,310,311
48855,C3826586,['topp'],Child analysis,14,240,260
48864,C1553128,['lbpr'],Kinetic ELISA,1,20,20
48868,C4321306,['lbpr'],Nasal Wash and Collection,5,80,80
48869,C0422784,['popg'],Bangladeshi ethnic group,11,120,200
48873,C2827631,['aggp'],School Age Child,12,170,171
48879,C1535502,['topp'],Bronchoalveolar Lavage,10,100,111
48895,C0036421,['dsyn'],Systemic Scleroderma,37,328,552
48899,C0206062,['dsyn'],"Lung Diseases, Interstitial",29,332,501
48912,C0034059,['fndg'],Pulmonary Diffusing Capacity,10,140,180
48914,C0040509,['fndg'],Total Lung Capacity,10,130,142
48920,C0007009,"['elii', 'phsu']",Carbon,6,70,90
48932,C3822553,['celf'],response to cyclophosphamide,1,10,20
48944,C0333717,['cell'],Abnormal cell,4,20,70
48946,C0205231,['qlco'],Extensive,100,1433,1386
48966,C0339904,['dsyn'],Lung disease with systemic sclerosis,3,30,60
48967,C0178539,['lbpr'],Cellular,6,50,100
48968,C0427850,['lbtr'],Presence of cells,2,20,21
48970,C0332198,['ftcn'],Abnormal presence of,2,30,30
48974,C1830593,['fndg'],Therapy need,13,161,191
48976,C3827002,['fndg'],Ground Glass Opacity,3,30,60
48977,C4697773,['fndg'],Ground glass,3,21,50
48985,C0449584,['qlco'],Opacification,2,30,40
48993,C4281590,['bpoc'],Structure of middle lobe of right lung,1,10,20
49003,C0946326,['diap'],pulmonary studies,17,250,330
49029,C0014772,['lbpr'],Red Blood Cell Count measurement,19,232,191
49050,C0042874,"['orch', 'phsu', 'vita']",Vitamin E,31,430,370
49053,C0205847,['aggp'],Middle Aged,19,241,290
49110,C0596192,['orch'],blood lipid,15,210,250
49113,C0342300,['patf'],Chronic hyperglycemia,1,0,20
49117,C1508496,['clna'],Quintile,30,370,580
49123,C0301532,"['orch', 'phsu', 'vita']",Multivitamin preparation,10,160,170
49126,C1705236,['fndg'],Protocol Deviation,20,245,360
49156,C1093046,['virs'],Human papillomavirus 11,14,60,230
49161,C2240392,"['imft', 'phsu']",Hepatitis B Vaccines,24,370,420
49196,C1325725,['celc'],Virus-like particle,11,110,150
49207,C0439457,['qnco'],International Unit per Liter,39,541,593
49208,C1711334,"['imft', 'phsu']",HPV 18 L1-VLP,3,20,60
49212,C1277834,['lbpr'],Hepatitis B surface antibody level,3,40,60
49218,C1547273,['qlco'],Preventable,26,401,391
49221,C0369334,"['aapp', 'imft']",Hepatitis B Virus Surface Antibody,29,410,491
49236,C3812159,['gngm'],FAM49B wt Allele,18,71,280
49249,C1135584,['inpr'],Medical Subject Headings,16,160,181
49284,C0033377,['dsyn'],Ptosis,13,20,171
49287,C0425852,['acab'],Anterior vaginal wall prolapse,2,0,30
49293,C3494201,['tmco'],Operative Time,41,303,522
49295,C0195224,['topp'],Anterior colporrhaphy,3,0,40
49298,C0009416,['topp'],Suture of vagina,1,0,10
49304,C1321585,"['bodm', 'orch']",Polypropylene mesh,7,60,80
49312,C0035007,['menp'],Psychological reinforcement,21,144,232
49326,C0425722,['sosy'],Sexual symptom,4,20,50
49332,C0443213,['fndg'],Extrusion,3,20,30
49340,C4684639,['inpr'],Demographic Data,15,170,220
49344,C0426359,['sosy'],Urinary symptoms,12,160,100
49368,C1547307,['inpr'],Satisfactory - Patient Condition Code,43,642,577
49371,C0442000,['spco'],Lower anterior,1,0,10
49380,C0024024,['geoa'],Louisiana (geographic location),7,121,130
49383,C0023749,"['bacs', 'orch', 'phsu']",Linoleic Acid,98,1331,1691
49412,C0014499,['phpr'],Epidemic,29,440,470
49434,C0240919,['fndg'],Rural,90,1032,1435
49445,C1711300,['cnce'],Span - parameter,22,290,312
49451,C0680811,"['gora', 'inpr']",public health policy,3,60,60
49456,C3714360,['hlca'],Counseling strategy,1,20,20
49464,C0683498,['inpr'],ecological perspective,1,20,20
49467,C0554244,['prog'],Maker (occupation),12,170,200
49476,C0679715,['inpr'],prevention project,1,20,20
49477,C0701171,['fndg'],Encounter due to health education,2,40,40
49487,C0205440,['qnco'],Sixth,18,260,290
49564,C0102923,"['orch', 'phsu']",ametantrone,25,393,450
49568,C0872173,['fndg'],functional disability,26,343,430
49581,C3272505,['inpr'],FACIT Fatigue Scale,22,350,380
49596,C0281481,['topp'],anti-tumor necrosis factor therapy,29,471,500
49599,C1519136,['inpr'],SF-36,111,1498,1756
49610,C4483112,['fndg'],Physical score,23,322,341
49614,C0229992,['menp'],Psyche structure,120,1773,1755
49625,C3541329,['gngm'],UGT1A7 wt Allele,137,2171,2166
49626,C4068875,['qnco'],2.25,27,400,392
49645,C3843397,['fndg'],20-24,50,681,770
49647,C0278372,['diap'],Functional assessment,45,575,685
49654,C3541881,['inpr'],Device Identifiers Domain,19,301,320
49656,C2343589,"['aapp', 'imft', 'phsu']",rilonacept,15,145,88
49692,C0009264,['npop'],Cold Temperature,19,231,251
49694,C0016712,"['imft', 'phsu']",Freund's Adjuvant,6,42,61
49721,C0021753,"['aapp', 'imft']",Interleukin-1 beta,6,60,60
49726,C0013604,['sosy'],Edema,122,1644,1632
49733,C4085641,['inpr'],Level of Joint Pain,1,1,1
49735,C0020548,['topp'],Induced Hyperthermia,5,71,31
49742,C0075165,"['aapp', 'rcpt']",Staph protein A receptor,2,21,21
49751,C3811131,['lbpr'],Estrogen Receptor Measurement,53,682,981
49770,C0013109,['inpr'],Drama,22,175,204
49810,C1424250,['gngm'],NLRP3 gene,4,51,51
49831,C1518544,['ftcn'],Off Treatment,14,161,182
49833,C1327420,['celf'],interleukin-1 beta secretion,1,1,1
49838,C3640521,['inpr'],"Short Form 36 Health Survey Standard, US Version 2.0 Questionnaire",42,603,631
49855,C1549774,['idcn'],Initial load,2,21,21
49859,C0442802,['qlco'],Excessive,49,534,617
49868,C0343068,['dsyn'],Familial cold urticaria,2,11,11
49869,C1415102,['gngm'],GLG1 gene,61,1003,855
49870,C3845611,['fndg'],Pain daily,13,133,201
49873,C1176468,['lbpr'],Erythrocyte sedimentation rate measurement,56,864,1001
49907,C0033371,"['aapp', 'horm', 'phsu']",Prolactin,25,370,360
49923,C0178601,['phsu'],Dopamine Agonists,23,360,371
49938,C0015371,['dsyn'],Extrapyramidal Disorders,8,150,140
49992,C0234133,['sosy'],Extrapyramidal sign,33,560,492
50058,C0033168,['mnob'],Prisons,11,130,90
50064,C0011892,"['hops', 'orch', 'phsu']",Heroin,10,171,131
50071,C0588202,['topp'],Drug addiction therapy - methadone,8,100,71
50077,C0004716,['geoa'],Baltimore,9,100,100
50079,C0009170,"['hops', 'orch']",Cocaine,38,501,384
50101,C0033167,['popg'],Prisoners,8,100,70
50103,C0019337,['mobd'],Heroin Dependence,1,20,0
50104,C0392751,['fndg'],In prison (finding),6,90,41
50113,C0086190,['hops'],Illicit Drugs,6,100,100
50128,C0019664,['ocdi'],History,9,140,101
50131,C2607966,['popg'],Criminals,2,30,10
50139,C0679827,['hlca'],treatment entry,8,150,120
50141,C1610733,['bdsu'],Urine - SpecimenType,37,442,480
50145,C4086928,['fndg'],Use Heroin,1,20,0
50147,C1278212,['lbpr'],Drugs of abuse urine screening test,3,60,30
50148,C0450981,['inpr'],Addiction severity index,5,90,51
50149,C1318437,['lbpr'],Urine cocaine measurement,0,0,0
50160,C0205255,['fndg'],Imprisonment (finding),12,200,140
50161,C0589124,['fndg'],Follow-up 6 months,57,773,861
50169,C3686820,['qlco'],Passive,29,333,361
50195,C1124482,['clnd'],atorvastatin 80 MG,18,300,271
50205,C0085201,"['aapp', 'bacs']",Apolipoprotein A-I,31,550,560
50210,C1667395,['clnd'],atorvastatin 40 MG,21,341,332
50264,C0428471,['lbtr'],HDL - High density lipoprotein cholesterol level result,8,100,120
50274,C3643658,['phsu'],atorvastatin / ezetimibe,6,110,110
50285,C1953489,['qnco'],Cholesterol/Apolipoprotein B,3,50,50
50309,C0048897,"['aapp', 'bacs']",Sapropterin,5,50,40
50325,C0242295,['food'],Dietary Supplements,161,1613,2021
50359,C4281712,"['aapp', 'bacs']",Tetrahydrobiopterin,5,50,31
50366,C1996349,"['bacs', 'orch', 'phsu']",Sapropterin dihydrochloride,5,50,40
50402,C2919014,['idcn'],OLD_CHILD (NCIt property),36,600,591
50413,C0516535,['fndg'],safety of children,25,401,421
50422,C0439194,['qnco'],Micromole,7,80,100
50515,C0744318,['sosy'],Acid reflux SYMPTOMS,12,152,160
50523,C0150126,['topp'],Airway Management,5,80,70
50532,C0430703,['diap'],Period pH monitoring,2,30,30
50537,C1127610,['clnd'],Esomeprazole 40 MG,13,240,210
50541,C0182230,['medd'],ph monitors,2,30,30
50543,C1720052,['tmco'],Awakening (time frame),33,345,412
50559,C1512456,['qnco'],High Prevalence,91,1291,1471
50569,C1547996,['inpr'],Diagnostic Service Section ID - Pulmonary Function,52,702,684
50628,C1876807,"['orch', 'phsu']",Vyvanse,2,20,11
50629,C0591126,"['orch', 'phsu']",AT 10,3,30,12
50705,C3875152,['idcn'],Characterizes,12,171,161
50709,C1705823,['inpr'],Object Title,9,130,101
50710,C2347387,['qlco'],Official,5,40,70
50715,C3812758,['qlco'],Pre-dose Measure,4,50,50
50718,C0311392,['fndg'],Physical findings,15,161,202
50722,C0232492,['sosy'],Upper abdominal pain,14,220,200
50725,C0442732,['qlco'],Vital (qualifier value),38,451,512
50730,C0449247,['tmco'],Time course,28,381,421
50732,C3843404,['fndg'],About the same time,15,212,221
50737,C3843156,['fndg'],Less often,99,1611,1701
50757,C0681827,['lbpr'],laboratory studies,17,163,174
50764,C0439563,['tmco'],Phase 5,26,391,410
50773,C1739768,"['orch', 'phsu']",rivaroxaban,66,1310,1280
50822,C0004170,['bpoc'],Cervical Atlas,20,350,330
50829,C0872152,['bmod'],Drug Development,33,452,422
50842,C0002037,['geoa'],Algeria,40,554,603
50844,C1120149,"['orch', 'phsu']",thienopyridine,39,721,700
50860,C0035170,['resa'],Research and Development,36,620,572
50879,C2825027,['phsu'],Factor Xa Inhibitor [EPC],38,711,710
50906,C3248003,['clnd'],rivaroxaban 20 MG,9,170,160
50916,C3251812,['fndg'],Bleeding risk,89,1731,1710
50927,C3843789,['fndg'],Seven to Ten Activity Hours,1,20,20
50935,C0815149,['fndg'],prevention effectiveness,30,431,450
50939,C0450347,['qnco'],21/25,32,402,491
50962,C2347379,['fndg'],Observation Result,18,270,260
50967,C0331843,['hcro'],Johnson and Johnson,9,170,170
50974,C1997614,['patf'],Thromboembolism of vein,57,1020,1070
50975,C0598333,['qlco'],drug efficacy,37,483,522
51031,C0018026,"['elii', 'phsu']",Gold,41,691,631
51120,C4699609,['fndg'],Early disease stage,10,132,142
51137,C0021455,['medd'],Inhalation Devices,7,120,110
51152,C1264521,['patf'],Effects of chemotherapy,7,50,120
51172,C0429673,['fndg'],Respiratory measure,7,91,120
51280,C3640523,['inpr'],Young Mania Rating Scale Questionnaire,32,580,591
51336,C2983587,['fndg'],Average Body Weight Gain,8,130,120
51350,C2348884,['qnco'],Gram per Gram per Day,43,602,641
51356,C4087288,['inpr'],Young mania rating scale,37,640,651
51441,C0087084,['hcro'],Third-Party Payers,6,90,110
51443,C0085148,['topp'],"Hemostasis, Endoscopic",2,40,30
51446,C0687760,['mnob'],Taverns,3,60,60
51478,C0030922,['patf'],Peptic Ulcer Hemorrhage,5,100,90
51480,C0030672,['hlca'],Patient Acceptance of Health Care,73,1290,1137
51490,C1527180,['ftcn'],Dominant,44,623,576
51502,C0010187,['qnco'],Cost Benefit,4,70,51
51504,C0037747,['geoa'],Spain,53,761,830
51527,C0034036,"['inpr', 'mnob']",Publications,162,2247,2204
51528,C0011115,['inpr'],Decision Trees,4,70,60
51529,C0018104,['orgt'],Government,27,381,304
51532,C0080045,['qnco'],Prices,13,231,231
51541,C1419732,['gngm'],RPS29 gene,1,20,20
51559,C0242456,['inpr'],Policy,35,530,610
51579,C4684628,['inpr'],Data Model,17,260,240
51595,C2698884,['ocdi'],Professional Occupation,20,252,290
51598,C1547411,['idcn'],Value range,10,180,160
51601,C2347470,['hlca'],Per Diem Payment Method,1,20,20
51626,C0681079,['qnco'],exchange rate,2,30,30
51634,C1704820,['gngm'],EPHA4 wt Allele,3,60,60
51655,C3714445,['qnco'],Maintenance dose,68,923,973
51663,C1276807,['phsu'],Budesonide / formoterol,32,561,561
51697,C0349790,['fndg'],Exacerbation of asthma,66,1200,1180
